symbol,price,stop_price,target_price,stop_dist,rr,qty,interval,score,timestamp
"{'tradingsymbol': 'ORICONENT-EQ', 'symboltoken': 10159}",52.67,48.05907267428084,61.89185465143832,4.610927325719162,2.0,542,ONE_DAY,20.19086833883685,2025-08-24 21:01
"{'tradingsymbol': 'Nifty IT', 'symboltoken': 99926008}",35440.85,34356.76088284108,37609.02823431784,1084.0891171589208,2.0,2,ONE_DAY,19.04957132193861,2025-08-24 21:01
"{'tradingsymbol': 'Nifty Realty', 'symboltoken': 99926018}",909.65,874.1128997934721,980.7242004130557,35.53710020652785,2.0,70,ONE_DAY,18.653445259013555,2025-08-24 21:01
"{'tradingsymbol': 'Nifty Energy', 'symboltoken': 99926020}",34507.6,33804.000753777706,35914.798492444585,703.5992462222929,2.0,3,ONE_DAY,17.832157697224524,2025-08-24 21:01
"{'tradingsymbol': 'NIFTY Alpha 50', 'symboltoken': 99926059}",51222.6,49870.84161087267,53926.11677825466,1351.7583891273318,2.0,1,ONE_DAY,17.56399114253299,2025-08-24 21:01
"{'tradingsymbol': 'Nifty CPSE', 'symboltoken': 99926041}",6281.1,6154.988126431218,6533.323747137565,126.11187356878217,2.0,19,ONE_DAY,16.875774843971048,2025-08-24 21:01
"{'tradingsymbol': 'Nifty PSE', 'symboltoken': 99926024}",9471.3,9267.88228822277,9878.135423554457,203.41771177722867,2.0,12,ONE_DAY,16.81571222587801,2025-08-24 21:01
"{'tradingsymbol': 'NIFTY SMLCAP 50', 'symboltoken': 99926061}",8628.05,8414.927521927011,9054.294956145974,213.1224780729875,2.0,11,ONE_DAY,16.074707404315625,2025-08-24 21:01
"{'tradingsymbol': 'Nifty Midcap 50', 'symboltoken': 99926014}",16306.85,15913.296305423337,17093.957389153325,393.55369457666336,2.0,6,ONE_DAY,15.994626310887853,2025-08-24 21:01
"{'tradingsymbol': 'Nifty GS 10Yr Cln', 'symboltoken': 99926051}",899.59,894.0595742558114,910.6508514883772,5.530425744188581,2.0,444,ONE_DAY,15.748071131398671,2025-08-24 21:01
